Planet;Id;TextStraDllId;New game sector;Rescaled X;Rescaled Y;Core/Rim;PictureId;EncyclopediaDescription
Bothawui;100;12176;Bothan Space;767;573;Rim;19;"Bothawui (R-14, Bothan Space, 4 hyperlanes)
Geology: Planet, Temperate, Plains, Mountains, Forests, Urban
Species: Bothan (native), Human
Economy: High Tech, Info, Mid Tech
History: Bothawui was considered to be strategically important during the Clone Wars, leading to it being the site of a battle between Jedi General Anakin Skywalker and General Grievous that halted a Separatist advance. Later in the war, around the time the Galactic Republic suffered a loss on Ryloth, Bothawui hosted another battle, though this engagement ended with many Republic losses. Several of the individuals who taught the human Wilhuff Tarkin to fly starships originated on this world, despite the great distance between the world and the planet Eriadu where Tarkin lived. Many years later, Imperial resources were redirected from Bothawui by the Imperial Navy to help deal with Tarkin's corvette, Carrion Spike, after it was stolen by dissidents.
Sources: Clone Wars, Atlas"
Circumtore;101;12096;Bothan Space;776;554;Rim;30;"Circumtore (S-12, Bothan Space, 4 hyperlanes)
Geology: Ring-shaped Artificial Planetoid
Species: Shell Hutt (native)
Economy: -
History: At some period in time, Circumtore's neighboring orbitals in its star system were rendered charred and lifeless by a disaster. A group of Hutts known as the Shell Hutts have recently colonized Circumtore.
Sources: -
"
Gamorr;102;12178;Bothan Space;801;576;Rim;67;"Gamorr (T-14, Bothan Space, 2 hyperlanes)
Geology: Planet, Temperate, Forests, Croplands
Species: Gamorrean (native), Hepmaga MiOrd's Species
Economy: Melee Weapons, Food, Tech, Mercenaries, Slaves
History: The history of Gamorr was characterized by warfare and violence, with conflicts so numerous that almost no historians other than the Gamorreans themselves could genuinely understand them. Over time, Gamorr went under many occupations such as Sith and Galactic Republic. Later, attempts by the Galactic Empire to civilize Gamorr resulted in failure, with Imperial representatives staying in a small number of fortified trading ports.
Sources: Atlas"
Kamino;103;12179;Bothan Space;761;602;Rim;87;"Kamino (S-15, Bothan Space, 0 hyperlane)
Geology: Planet, Temperate, Oceans
Species: Kaminoan (native), Human
Economy: Food, Clones, Covert Tech, Military Hardware
History: At some point Kamino was not covered in water, and the Kaminoans built a large land-based civilization. However, the water level rose, forcing the Kaminoans to build their structures on stilts. Kamino often experience heavy rain, and during some parts of the year was covered with heavy electrical storms. During this season, Kaminoans ride on aiwhas underwater and resurface once they are near their destination. Shortly after the establishment of the Galactic Empire, Imperial Governor and Admiral Wilhuff Tarkin arrived on Kamino to discuss the status of the new Imperial Army with Lama Su. Tarkin informed the Prime Minister that the Empire was reluctant to continuing using clones. The Empire slowly dismantled the cloning program as the troops in the Imperial Army were gradually replaced by non-clone recruits.
Sources: Episode 2, Clone Wars, Battlefront 1, Battlefront 2"
Nexus Ortai;104;11911;Bothan Space;747;578;Core;123;"Nexus Ortai (Q-14, Bothan Space, 4 hyperlanes)
Geology: Planet
Species: -
Economy: -
History: Nexus Ortai is a peaceful world in the mid rim. During the clone wars, the republic and the Confederacy fought over the world due to its strategic position. 
Sources: -"
Rishi;105;12181;Bothan Space;780;593;Rim;144;"Rishi (S-15, Bothan Space, 2 hyperlanes)
Geology: Planet, Hot, Mountains, Swamps, Jungle
Species: Rishii (native), Human, Galandan, Twi'lek, Zabrak
Economy: Exonium, Food, Fuel, Tech, Minerals, Missionaries, Ores
History: During the Republic Era, Jedi Master Lene Kostana and her Padawan, Sifo-Dyas, discovered the Hand of Skrye on Rishi, and while on the planet, Kostana taught her apprentice a cleansing ritual. Later, during the time of the Clone Wars, the Rishi Moon housed a Galactic Republic listening post known as the Rishi Station, which was invaded and later destroyed by the Confederacy of Independent Systems led by Kaleesh General Grievous in 22 BBY.
Sources: Clone Wars, SWTOR, Atlas
"
Ryloth;106;12182;Bothan Space;765;625;Rim;147;"Ryloth (R-17, Bothan Space, 3 hyperlanes)
Geology: Planet, Hot, Humid, Dense Jungle, Mesas, Valleys, Volcanoes
Species: Twi'lek (native), Human
Economy: Doonium, Ryll, Slaves, Spice
History: For centuries, the planet and its people were exploited by the Hutts and their criminal enterprises. It served as a key world for the spice trade. Ryloth was one of many worlds that fell under the control of the Zygerrian Slave Empire before the Jedi Knights destroyed the regime. During the High Republic Era, it was ruled by the Clan Assembly. The planet allegiance changed during the clone wars to finally become a protectorate of the Galactic Empire in 19 BBY.
Sources: Clone Wars, Battlefront 2"
Scarif;107;12183;Bothan Space;799;607;Rim;150;"Scarif (S-15, Bothan Space, 3 hyperlanes)
Geology: Planet, Temperate, Tropical, Oceans, Rocky Archipelagos, Sandy Beaches, Verdant Jungles, Volcanic Islands
Species: Human
Economy: Starships, Death Star Supplies
History: Over the years, various officers treated Scarif as a place for an unofficial retirement, where they could neglect their duty in the comfort of a tropical paradise. In 9 BBY, the Death Star, an armored battle station capable of destroying entire worlds, was moved from Geonosis to Scarif to continue its construction under the supervision of Director Orson Krennic. Although a small and idyllic world, Scarif played an important part in the Galactic Empire's military-industrial complex, becoming a center for top-secret research beyond inspection distance of the prying eyes of the Imperial Senate. Among the projects stored here was the Death Star battle station, a construction so important the entire planet was covered by a planetary deflector shield that could only be entered via a Shield Gate, a Golan M3185 space station.
Sources: Solo, Rogue One, Andor, Battlefront 2"
Smuggler's Run;108;12184;Bothan Space;785;630;Rim;158;"Smuggler's Run (S-18, Bothan Space, 3 hyperlanes)
Geology: Asteroid belt
Species: Human, Alien
Economy: Contraband
History: During the Galactic Civil War, Imperial TIEs marked with blue stripes patrolled the Smuggler's Run and intercepted freighters suspected of carrying illicit cargo. Any pilots who didn't submit for Imperial boarding inspection were obliterated immediately.
Sources: Rebels, Battlefront 2, Squadrons"
Teth;109;12185;Bothan Space;804;553;Rim;172;"Teth (U-12, Bothan Space, 3 hyperlanes)
Geology: Planet, Jungle Lowlands, Tall Mesas
Species: Hutt, Human
Economy: High Tech, Luxury, Food
History: At some point, Teth was inhabited by the B'omarr Order. However, by the time of the Clone Wars, their castles were abandoned, though some would be converted by the Hutts into formidable strongholds. Some distance from the B'omarr monasteries and the Tomb of Ziro the Hutt's father, an area of mysterious rock formations could be found on the surface of Teth.
Sources: The Clone Wars, Clone Wars, Atlas"
