Id;Field2_1;ProductionFamily;NextProductionFamily;FamilyId;TextStraDllId;Field7_2;IsAlliance;IsEmpire;RefinedMaterialCost;MaintenanceCost;ResearchOrder;ResearchDifficulty;UprisingDefense;Detection;ShieldStrength;SubLightEngine;Maneuverability;Hyperdrive;HyperdriveIfDamaged;TurbolaserFore;IonCannonFore;LaserCannonFore;TurbolaserAft;IonCannonAft;LaserCannonAft;TurbolaserPort;IonCannonPort;LaserCannonPort;TurbolaserStarboard;IonCannonStarboard;LaserCannonStarboard;TurbolaserRange;IonCannonRange;LaserCannonRange;TurbolaserAttackStrength;IonCannonAttackStrength;LaserCannonAttackStrength;OverallAttackStrength;Hull;TractorBeamPower;TractorBeamRange;GravityWellProjector;InterdictionStrength;BombardmentModifier;DamageControl;WeaponRechargeRate;ShieldRechargeRate;FighterCapacity;TroopCapacity;Field51_0;Name;EncyclopediaDescription
64;1;40;41;20;10048;2;1;0;92;70;2;24;42;10;300;4;2;60;100;60;40;0;60;40;0;120;60;0;120;60;0;50;35;0;360;200;0;560;2400;2;20;0;0;2;50;18;15;3;1;0;MC80 Liberty Cruiser;"[ALLIANCE] MC80 Liberty type Heavy Star Cruiser (1200m)
  Cost 92, Maintenance 70, Fighters 3, Troops 1

ATK: vs Ships 180, vs Fighters 0, Reload 18
DEF: Shield/Recharge 300/15, DamageControl 50, Hull 2400
MOV: Maneuverability 2, Hyperdrive/Backup 60/100
SPE: Bombardment 2

DMG: Front, Back, Sides (Range)
    + Turbolasers: 60, 60, 120 (5000m)
    + Ions/Torpedoes: 40, 40, 60 (3500m)
    + Lasers: -

Company: Mon Calamari Shipyards
History: Recently developed in  Mon Cala, a planet renowned for its shipbuilding expertise, these cruisers are fast becoming a backbone for the Rebel Alliance's fleet. Transitioning from peaceful star liners to formidable warships, they embody the Mon Calamari's steadfast commitment to resisting the Galactic Empire. Each MC80 is distinct, a testament to Mon Cala's approach to individualized design. Their participation in the Galactic Civil War, especially in recent key conflicts, marks them as potent symbols of hope and rebellion against the Empire's tyranny. Their unique design and capabilities have quickly made them a subject of both awe and inspiration in the fight for freedom across the galaxy."
65;1;40;41;20;10049;2;1;0;30;30;0;0;15;10;200;3;1;80;120;15;0;0;0;0;0;30;0;0;30;0;0;35;0;0;75;0;0;75;1200;1;20;0;0;1;5;6;10;0;0;0;Bulk Cruiser;"[ALLIANCE] Neutron Star-class Bulk Cruiser (600m)
  Cost 30, Maintenance 30, Fighters 0, Troops 0

ATK: vs Ships 30, vs Fighters 0, Reload 6
DEF: Shield/Recharge 200/10, DamageControl 5, Hull 1200
MOV: Maneuverability 1, Hyperdrive/Backup 80/120
SPE: Bombardment 1

DMG: Front, Back, Sides (Range)
    + Turbolasers: 15, 0, 30 (3500m)
    + Ions/Torpedoes: -
    + Lasers: -

Company: Rendili StarDrive
History: These ships, distinguished by their robust structures and versatile capabilities, have been involved in various roles across the galaxy. They were primarily seen in service with the Galactic Empire, often deployed for military logistics and transport duties. Their design allows for modifications, making them a common choice for specialized missions. The destruction of the Death Star at the Battle of Yavin marked a period where the Empire relied heavily on such cruisers for rapid redeployment of resources, highlighting their strategic importance in the wake of significant losses."
66;1;40;41;20;10050;2;1;0;60;60;7;60;30;15;600;5;2;80;120;70;50;0;0;0;0;120;40;0;120;40;0;60;35;0;310;130;0;440;1400;0;0;0;0;2;30;16;30;0;0;0;Assault Frigate;"[ALLIANCE] Assault Frigate Mark I (700m)
  Cost 60, Maintenance 60, Fighters 0, Troops 0

ATK: vs Ships 160, vs Fighters 0, Reload 16
DEF: Shield/Recharge 600/30, DamageControl 30, Hull 1400
MOV: Maneuverability 2, Hyperdrive/Backup 80/120
SPE: Bombardment 2

DMG: Front, Back, Sides (Range)
    + Turbolasers: 70, 0, 120 (6000m)
    + Ions/Torpedoes: 50, 0, 40 (3500m)
    + Lasers: -

Company: Galactic Republic
History: This frigate, a Rendili StarDrive Dreadnaught-class heavy cruiser, was extensively modified by the Rebel Alliance. These modifications were primarily for combat effectiveness against the Galactic Empire, particularly after the destruction of the Death Star at the Battle of Yavin. The Assault Frigate Mark I played a crucial role in the Rebel fleet, serving as a backbone for their naval forces. Its firepower, speed, and shielding made it a formidable opponent against Imperial forces. The ship's presence in key battles and its adaptability to various combat roles underscored its importance in the Alliance's efforts to restore democracy to the galaxy."
67;1;40;41;20;10051;2;1;0;34;35;1;12;15;30;300;3;2;80;120;80;0;60;0;0;60;40;0;30;40;0;30;60;0;17;160;0;180;340;600;1;20;0;0;1;20;12;15;2;0;0;Nebulon-B Frigate;"[ALLIANCE] EF76 Nebulon-B Escort Frigate (300m)
  Cost 34, Maintenance 35, Fighters 2, Troops 0

ATK: vs Ships 80, vs Fighters 60, Reload 12
DEF: Shield/Recharge 300/15, DamageControl 20, Hull 600
MOV: Maneuverability 2, Hyperdrive/Backup 80/120
SPE: Bombardment 1

DMG: Front, Back, Sides (Range)
    + Turbolasers: 80, 0, 40 (6000m)
    + Ions/Torpedoes: -
    + Lasers: 60, 60, 30 (1700m)

Company: Kuat Drive Yards
History: Initially designed for the Imperial Navy, these frigates became a symbol of versatility and resilience. After the Battle of Yavin and the destruction of the Death Star, several Nebulon-B frigates were captured or defected to the Rebel Alliance, where they served as key assets. Their adaptability for roles ranging from escort missions to medical services made them invaluable. The Nebulon-B's distinctive elongated design and its presence in numerous critical engagements made it a noteworthy contributor to the Galactic Civil War's naval operations."
68;1;40;41;20;10052;2;1;0;32;29;0;0;10;10;200;2;1;80;120;0;0;30;0;0;0;0;0;60;0;0;60;0;0;17;0;0;150;150;900;0;0;0;0;0;5;4;10;6;0;0;Alliance Escort Carrier;"[ALLIANCE] Quasar Fire-class Cruiser-Carrier (350m)
  Cost 32, Maintenance 29, Fighters 6, Troops 0

ATK: vs Ships 0, vs Fighters 60, Reload 4
DEF: Shield/Recharge 200/10, DamageControl 5, Hull 900
MOV: Maneuverability 1, Hyperdrive/Backup 80/120
SPE: Bombardment 0

DMG: Front, Back, Sides (Range)
    + Turbolasers: -
    + Ions/Torpedoes: -
    + Lasers: 30, 0, 60 (1700m)

Company: Sienar Fleet Systems
History: The Alliance Escort Carrier, was originally a Quasar Fire-class cruiser-carrier later repurposed by the Rebel Alliance. These vessels became crucial to the Alliance's fleet, primarily used for launching and supporting starfighter squadrons. Their adaptation from commercial cargo ships to military use was emblematic of the Rebellion's resourcefulness. These carriers played a significant role in the aftermath of the Death Star's destruction, enhancing the Rebel fleet's operational capabilities and providing vital starfighter support in numerous engagements against the Galactic Empire. The presence of these carriers allowed the Rebel Alliance to project power and maintain a mobile presence, crucial for their hit-and-run tactics against the more massive Imperial Navy."
69;1;40;41;20;10053;2;1;0;14;23;0;0;7;20;200;6;3;80;0;0;0;120;0;0;90;0;0;120;0;0;120;0;0;17;0;0;450;450;500;0;0;0;0;1;10;8;10;0;0;0;Corellian Corvette;"[ALLIANCE] CR90 Correlian Corvette (150m)
  Cost 14, Maintenance 23, Fighters 0, Troops 0

ATK: vs Ships 0, vs Fighters 120, Reload 8
DEF: Shield/Recharge 200/10, DamageControl 10, Hull 500
MOV: Maneuverability 3, Hyperdrive/Backup 80/-
SPE: Bombardment 1

DMG: Front, Back, Sides (Range)
    + Turbolasers: -
    + Ions/Torpedoes: -
    + Lasers: 120, 90, 120 (1700m)

Company: Corellian Engineering Corporation
History: These corvettes are celebrated for their speed and versatility, making them a staple in various fleets. Notably, the CR90 became synonymous with the Rebel Alliance, serving as a key asset in their fight against the Galactic Empire. The most famous of these, the Tantive IV, played a crucial role in the events leading to the Battle of Yavin, involving the theft of the Death Star plans. The CR90's durability and adaptability have made it a symbol of resistance and hope in the Galactic Civil War."
70;1;40;41;20;10054;2;1;0;10;12;0;0;3;5;100;2;2;100;0;0;0;0;0;0;0;0;0;30;0;0;30;0;0;17;0;0;60;60;360;0;0;0;0;0;5;2;5;0;2;0;Medium Transport;"[ALLIANCE] GR-75 Medium Transport (90m)
  Cost 10, Maintenance 12, Fighters 0, Troops 2

ATK: vs Ships 0, vs Fighters 30, Reload 2
DEF: Shield/Recharge 100/5, DamageControl 5, Hull 360
MOV: Maneuverability 2, Hyperdrive/Backup 100/-
SPE: Bombardment 0

DMG: Front, Back, Sides (Range)
    + Turbolasers: -
    + Ions/Torpedoes: -
    + Lasers: 0, 0, 30 (1700m)

Company: Gallofree Yards, Inc.
History: This transport has a distinguished history, particularly for its role within the Rebel Alliance. Initially designed for commercial cargo transport, these ships were repurposed by the Rebellion due to their high cargo capacity and modifiability. They were crucial in evacuating Rebel bases, most notably during the evacuation of Hoth, where their effectiveness in rapid deployment and retreat was demonstrated. GR-75 transports were often seen in Rebel convoys, transporting troops, supplies, and equipment crucial for the survival and operations of the Alliance in their struggle against the Galactic Empire. Their utilitarian design and reliability made them a backbone in the logistics of the Rebel fleet."
71;1;40;41;20;10055;2;1;0;24;22;0;0;6;1;200;1;1;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;600;0;0;0;0;0;5;0;10;0;6;0;Bulk Freighter;"[ALLIANCE] Action VI Bulk Freighter (100m)
  Cost 24, Maintenance 22, Fighters 0, Troops 6

ATK: vs Ships 0, vs Fighters 0, Reload -
DEF: Shield/Recharge 200/10, DamageControl 5, Hull 600
MOV: Maneuverability 1, Hyperdrive/Backup 90/-
SPE: Bombardment 0

DMG: Front, Back, Sides (Range)
    + Turbolasers: -
    + Ions/Torpedoes: -
    + Lasers: -

Company: Corellian Engineering Corporation
History: This freighter holds a significant place in the logistical and trade networks of the galaxy. Designed primarily for cargo transport, these freighters were a common sight in commercial space lanes, transporting goods across various sectors. Their robust design and large cargo holds made them popular among shipping companies and independent traders. While not heavily armed or particularly fast, the Action VI's reliability and ease of modification allowed it to maintain prominence in the galactic economy. In the wake of the Death Star's destruction, these freighters continued to play a vital role in both commercial and, occasionally, covert operations, supporting various factions during the Galactic Civil War."
72;1;40;41;20;10056;2;1;0;10;23;4;48;5;30;200;10;4;80;160;0;0;90;0;0;90;0;0;150;0;0;150;0;0;25;0;0;480;480;300;0;0;0;0;0;20;10;10;0;0;0;Corellian Gunship;"[ALLIANCE] DP20 Frigate Corellian Gunship (120m)
  Cost 10, Maintenance 23, Fighters 0, Troops 0

ATK: vs Ships 0, vs Fighters 150, Reload 10
DEF: Shield/Recharge 200/10, DamageControl 20, Hull 300
MOV: Maneuverability 4, Hyperdrive/Backup 80/160
SPE: Bombardment 0

DMG: Front, Back, Sides (Range)
    + Turbolasers: -
    + Ions/Torpedoes: -
    + Lasers: 90, 90, 150 (2500m)

Company: Corellian Engineering Corporation
History: Designed for fast-paced combat, these frigates were integral to numerous engagements during the Galactic Civil War. Their role was particularly pronounced within the Rebel Alliance, where they were valued for their speed and firepower. Capable of engaging larger Imperial ships and providing crucial support in fleet battles, DP20s were often at the forefront of skirmishes. Their effectiveness in hit-and-run tactics and ability to punch above their weight class made them a preferred choice for missions requiring agility and combat prowess. In the aftermath of the Death Star's destruction, DP20 frigates continued to play a key role in the ongoing conflict against the Empire."
73;1;40;41;20;10057;2;1;0;44;33;0;0;19;10;200;3;1;80;180;40;0;0;20;0;0;70;0;0;70;0;0;60;0;0;200;0;0;200;1200;0;0;0;0;1;10;7;10;1;2;0;MC40a Light Cruiser;"[ALLIANCE] MC40a Light Cruiser (550m)
  Cost 44, Maintenance 33, Fighters 1, Troops 2

ATK: vs Ships 70, vs Fighters 0, Reload 7
DEF: Shield/Recharge 200/10, DamageControl 10, Hull 1200
MOV: Maneuverability 1, Hyperdrive/Backup 80/180
SPE: Bombardment 1

DMG: Front, Back, Sides (Range)
    + Turbolasers: 40, 20, 70 (6000m)
    + Ions/Torpedoes: -
    + Lasers: -

Company: Mon Calamari Shipyards
History: This cruiser is a vessel that became increasingly significant in these times, particularly within the ranks of the Rebel Alliance. These cruisers are known for their unique design, a hallmark of Mon Calamari engineering. The MC40a played a critical role in the Rebel fleet due to its versatility as a warship. Equipped with formidable armaments and deflector shields, it was more than capable of engaging Imperial forces in various confrontations. The MC40a's blend of firepower and maneuverability made it a valuable asset in the Rebel Alliance's arsenal, particularly in the wake of the Death Star's destruction, contributing significantly to their strategic operations during the Galactic Civil War."
