Id;Field2_1;ProductionFamily_0;NextProductionFamily_0;FamilyId;TextStraDllId;Field7_2;Group;GalaxySize;XPosition;YPosition;Name
20;1;0;0;128;11648;2;Rim (inner);Huge;469;642;Mid Rim South
21;1;0;0;128;11649;2;Rim (outer);Huge;272;96;Outer Rim North
22;1;0;0;128;11650;2;Rim (inner);Standard;132;417;Outer Rim West
23;1;0;0;128;11651;2;Core;Standard;258;394;Deep Core
24;1;0;0;128;11652;2;Rim (inner);Standard;380;129;Mandalorian Space
25;1;0;0;128;11653;2;Core;Huge;472;253;Colonies
26;1;0;0;128;11654;2;Rim (inner);Standard;359;663;Outer Rim South
27;1;0;0;128;11655;2;Core;Huge;385;525;Core Worlds South
28;1;0;0;128;11656;2;Core;Large;587;370;Outer Rim East
29;1;0;0;128;11657;2;Rim (inner);Large;596;253;Tingel Arm
30;1;0;0;128;11658;2;Rim (outer);Large;737;548;Hutt Space
31;1;0;0;128;11659;2;Rim (inner);Large;221;569;Western Reaches
32;1;0;0;128;11660;2;Rim (inner);Standard;488;129;Crossroads
33;1;0;0;128;11661;2;Rim (outer);Standard;191;148;Mid Rim North
34;1;0;0;128;11662;2;Rim (outer);Standard;695;684;Bothan Space
35;1;0;0;128;11663;2;Rim (outer);Large;113;277;Unknown Regions
36;1;0;0;128;11664;2;Core;Standard;317;248;Core Worlds North
37;1;0;0;128;11665;2;Core;Standard;526;532;Inner Rim
38;1;0;0;128;11666;2;Rim (outer);Standard;717;438;Sith Worlds
39;1;0;0;128;11667;2;Rim (outer);Huge;575;755;Wild Space
