Name;Id;TextStraDllId;New game sector;Rescaled X;Rescaled Y;Core/Rim;PictureId;EncyclopediaDescription
Bothawui;100;11776;Bothan Space;767;573;Rim;19;"Bothawui (R-14, Bothan Space, 4 hyperlanes)
Geology: Planet, Temperate, Plains, Mountains, Forests, Urban
Species: Bothan (native), Human
Economy: High Tech, Info, Mid Tech
History: Bothawui experienced a period of increased significance. As a prominent intelligence hub, the Bothan Spy Network played a vital role in obtaining and disseminating critical information. The planet's strategic importance was recognized, with multiple factions seeking to establish alliances with the Bothans. The planet's political landscape evolved, as factions vied for control, and Bothawui became a focal point for diplomatic negotiations. The planet's advanced technology and communications infrastructure made it an essential asset in the ongoing conflict. This period also saw a rise in espionage and subterfuge as various groups sought to undermine each other's efforts. As a consequence, the inhabitants of Bothawui found themselves in a precarious position, balancing their own interests with the needs of powerful allies. Security was heightened, and the planet became a symbol of the ever-shifting alliances and tensions within the galaxy.
Sources: Clone Wars, Atlas"
Circumtore;101;11777;Bothan Space;776;554;Rim;30;"Circumtore (S-12, Bothan Space, 4 hyperlanes)
Geology: Ring-shaped Artificial Planetoid
Species: Shell Hutt (native)
Economy: -
History: Circumtore became a significant location for survivors and refugees seeking refuge from the conflict between the Rebel Alliance and the Galactic Empire. The local government, attempting to maintain neutrality, faced mounting pressure from both factions. Covert Rebel cells began to operate on the surface, while the Empire sought to establish a presence to quell any potential uprising. A delicate balance was maintained as both sides vied for control, with skirmishes and espionage efforts intensifying. The tumultuous period led to shifts in political allegiances, reshaping the dynamics of power and influence on Circumtore.
Sources: -
"
Gamorr;102;11778;Bothan Space;801;576;Rim;67;"Gamorr (T-14, Bothan Space, 2 hyperlanes)
Geology: Planet, Temperate, Forests, Croplands
Species: Gamorrean (native), Hepmaga MiOrd's Species
Economy: Melee Weapons, Food, Tech, Mercenaries, Slaves
History: Gamorr remains relatively isolated from the larger galactic conflict. Its inhabitants continued to engage in their age-old tribal rivalries, with the warrior clans battling for dominance and territory. The planet's remote location and fierce inhabitants largely deterred external interference, allowing the traditional way of life to persist. Despite its isolation, Gamorr's reputation as a source of fierce mercenaries spread throughout the galaxy, attracting those in search of formidable fighters to aid their causes. This influx of off-world interest fueled the planet's ongoing internal strife, with rival clans competing to secure the most lucrative contracts and alliances, further solidifying Gamorr's place in history as a world steeped in martial tradition and conflict.
Sources: Atlas"
Kamino;103;11779;Bothan Space;761;602;Rim;87;"Kamino (S-15, Bothan Space, 0 hyperlane)
Geology: Planet, Temperate, Oceans
Species: Kaminoan (native), Human
Economy: Food, Clones, Covert Tech, Military Hardware
History: Kamino's reputation as a hub for cloning technology persists. The watery world, known for its highly skilled cloners, continued to be a center of scientific advancement and innovation. As the Galactic Civil War unfolded, Kamino's expertise in cloning remained in demand, attracting various factions seeking to leverage the planet's unique capabilities. The Kaminoans, with their vast knowledge and experience, navigated the complex political landscape, maintaining a delicate balance between their interests and the demands of the warring factions. Throughout this period, Kamino remained a vital player in the realm of cloning technology, contributing to its legacy in galactic history.
Sources: Episode 2, Clone Wars, Battlefront 1, Battlefront 2"
Nexus Ortai;104;11780;Bothan Space;747;578;Rim;123;"Nexus Ortai (Q-14, Bothan Space, 4 hyperlanes)
Geology: Planet
Species: -
Economy: -
History: Nexus Ortai's minimal involvement in galactic affairs allowed it to maintain a low profile in the chaos that ensued after the Empire's devastating loss. Nexus Ortai was not directly involved in the ongoing conflict between the Rebel Alliance and the remnants of the Galactic Empire, which allowed it to remain a quiet and relatively stable place. Despite its isolation, Nexus Ortai provided a sanctuary for those who sought to escape the larger turmoil in the galaxy, as well as a haven for individuals conducting secretive or sensitive activities.
Sources: -"
Rishi;105;11781;Bothan Space;780;593;Rim;144;"Rishi (S-15, Bothan Space, 2 hyperlanes)
Geology: Planet, Hot, Mountains, Swamps, Jungle
Species: Rishii (native), Human, Galandan, Twi'lek, Zabrak
Economy: Exonium, Food, Fuel, Tech, Minerals, Missionaries, Ores
History: Rishi remains an important outpost situated along the crucial hyperspace route. As a result, it continued to serve as a strategic location for various factions, including the remnants of the Empire and the burgeoning Rebel Alliance. Rishi's proximity to the Outer Rim Territories made it a favored destination for smugglers, pirates, and other fringe groups seeking refuge or engaging in illicit activities. The importance of the outpost led to occasional skirmishes and power struggles between various factions, but Rishi maintained its status as a key navigational point for those traveling through the region.
Sources: Clone Wars, SWTOR, Atlas
"
Ryloth;106;11782;Bothan Space;765;625;Rim;147;"Ryloth (R-17, Bothan Space, 3 hyperlanes)
Geology: Planet, Hot, Humid, Dense Jungle, Mesas, Valleys, Volcanoes
Species: Twi'lek (native), Human
Economy: Doonium, Ryll, Slaves, Spice
History: Ryloth continues to struggle with the consequences of its turbulent history. Known for its native Twi'lek population, the planet had long suffered under the oppression of various regimes, including the Hutt Cartel and the Galactic Empire. After the pivotal battle, Ryloth saw an increase in resistance movements and rebel activity against the Empire's rule. Local freedom fighters, led by the likes of Cham Syndulla, sought to liberate the planet from the Empire's grasp, sparking numerous skirmishes and uprisings. Ryloth's history post-episode 4 is defined by its people's resilience and pursuit of self-determination in the face of continued challenges.
Sources: Clone Wars, Battlefront 2"
Scarif;107;11783;Bothan Space;799;607;Rim;150;"Scarif (S-15, Bothan Space, 3 hyperlanes)
Geology: Planet, Temperate, Tropical, Oceans, Rocky Archipelagos, Sandy Beaches, Verdant Jungles, Volcanic Islands
Species: Human
Economy: Starships, Death Star Supplies
History: Scarif's importance as a strategic location diminished. Previously, the Galactic Empire had relied heavily on Scarif for its top-secret research and development, including the creation of the Death Star. The subsequent obliteration of the Death Star led to a decrease in activity on the planet, as the Empire shifted focus to other locations and projects. However, Scarif remained under Imperial control and continued to house military installations and research facilities. Despite the decline in activity, its reputation as a heavily fortified and impenetrable fortress endured, instilling fear and respect among those who knew of its existence.
Sources: Solo, Rogue One, Andor, Battlefront 2"
Smuggler's Run;108;11784;Bothan Space;785;630;Rim;158;"Smuggler's Run (S-18, Bothan Space, 3 hyperlanes)
Geology: Asteroid belt
Species: Human, Alien
Economy: Contraband
History: Smuggler's Run continues to serve as a crucial route for smugglers, pirates, and other fringe elements seeking to evade the reach of the Empire. The dense asteroid field and treacherous space environment provided an ideal hiding spot for those who sought refuge from both Imperial and criminal forces. As the conflict between the Empire and the Rebel Alliance intensified, the Run saw increased activity, becoming an even more vital corridor for the transportation of contraband, black market goods, and secret passengers. The lawlessness of the region attracted opportunistic individuals seeking to profit from the chaos, solidifying Smuggler's Run as a notorious galactic haven for illicit activities.
Sources: Rebels, Battlefront 2, Squadrons"
Teth;109;11785;Bothan Space;804;553;Rim;172;"Teth (U-12, Bothan Space, 3 hyperlanes)
Geology: Planet, Jungle Lowlands, Tall Mesas
Species: Hutt, Human
Economy: High Tech, Luxury, Food
History: Teth continues to serve as a remote outpost on the fringes of the galaxy. The planet's history of being a battleground and stronghold persisted, with various factions vying for control over its resources and strategic location. Teth's dense jungles and high plateaus provided ample cover for those seeking refuge or looking to conduct clandestine operations. As the galaxy became more tumultuous, Teth's remote location attracted numerous individuals and organizations seeking to remain hidden from the ongoing conflict. The planet's reputation for harboring secrets and facilitating covert activities only grew during this time.
Sources: The Clone Wars, Clone Wars, Atlas"
Balmorra;110;11792;Colonies;530;382;Rim;9;"Balmorra (M-10, Colonies, 0 hyperlane)
Geology: Planet, Temperate, Canyons, Industrial, Plains, Mountains, Urban
Species: Colicoid, Human, Hutt, Twi'lek
Economy: Food, Tech, Weapons
History: Balmorra experienced a shift in power dynamics. The planet, known for its advanced weapons manufacturing capabilities, attracted the attention of both the Galactic Empire and the Rebel Alliance. As tensions escalated, the Empire sought to assert control and gain access to the planet's resources and technology. However, the resilient Balmorran people, valuing their autonomy, resisted the Empire's efforts. The local resistance worked alongside the Rebel Alliance, engaging in covert operations and skirmishes to keep their world from falling under the Empire's dominion. Throughout this period, Balmorra was a hotbed of conflict and espionage, as both sides vied for control over its valuable assets.
Sources: SWTOR
"
